GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HC01_EST_VC01,Total Civilian Noninstitutionalized Population; Estimate; Population Age 16 and Over
HC01_MOE_VC01,Total Civilian Noninstitutionalized Population; Margin of Error; Population Age 16 and Over
HC02_EST_VC01,With a Disability; Estimate; Population Age 16 and Over
HC02_MOE_VC01,With a Disability; Margin of Error; Population Age 16 and Over
HC03_EST_VC01,No Disability; Estimate; Population Age 16 and Over
HC03_MOE_VC01,No Disability; Margin of Error; Population Age 16 and Over
HC01_EST_VC03,Total Civilian Noninstitutionalized Population; Estimate; EMPLOYMENT STATUS - Employed
HC01_MOE_VC03,Total Civilian Noninstitutionalized Population; Margin of Error; EMPLOYMENT STATUS - Employed
HC02_EST_VC03,With a Disability; Estimate; EMPLOYMENT STATUS - Employed
HC02_MOE_VC03,With a Disability; Margin of Error; EMPLOYMENT STATUS - Employed
HC03_EST_VC03,No Disability; Estimate; EMPLOYMENT STATUS - Employed
HC03_MOE_VC03,No Disability; Margin of Error; EMPLOYMENT STATUS - Employed
HC01_EST_VC04,Total Civilian Noninstitutionalized Population; Estimate; EMPLOYMENT STATUS - Not in Labor Force
HC01_MOE_VC04,Total Civilian Noninstitutionalized Population; Margin of Error; EMPLOYMENT STATUS - Not in Labor Force
HC02_EST_VC04,With a Disability; Estimate; EMPLOYMENT STATUS - Not in Labor Force
HC02_MOE_VC04,With a Disability; Margin of Error; EMPLOYMENT STATUS - Not in Labor Force
HC03_EST_VC04,No Disability; Estimate; EMPLOYMENT STATUS - Not in Labor Force
HC03_MOE_VC04,No Disability; Margin of Error; EMPLOYMENT STATUS - Not in Labor Force
HC01_EST_VC06,Total Civilian Noninstitutionalized Population; Estimate; Employed Population Age 16 and Over
HC01_MOE_VC06,Total Civilian Noninstitutionalized Population; Margin of Error; Employed Population Age 16 and Over
HC02_EST_VC06,With a Disability; Estimate; Employed Population Age 16 and Over
HC02_MOE_VC06,With a Disability; Margin of Error; Employed Population Age 16 and Over
HC03_EST_VC06,No Disability; Estimate; Employed Population Age 16 and Over
HC03_MOE_VC06,No Disability; Margin of Error; Employed Population Age 16 and Over
HC01_EST_VC09,Total Civilian Noninstitutionalized Population; Estimate; CLASS OF WORKER - Private for-profit wage and salary workers
HC01_MOE_VC09,Total Civilian Noninstitutionalized Population; Margin of Error; CLASS OF WORKER - Private for-profit wage and salary workers
HC02_EST_VC09,With a Disability; Estimate; CLASS OF WORKER - Private for-profit wage and salary workers
HC02_MOE_VC09,With a Disability; Margin of Error; CLASS OF WORKER - Private for-profit wage and salary workers
HC03_EST_VC09,No Disability; Estimate; CLASS OF WORKER - Private for-profit wage and salary workers
HC03_MOE_VC09,No Disability; Margin of Error; CLASS OF WORKER - Private for-profit wage and salary workers
HC01_EST_VC10,Total Civilian Noninstitutionalized Population; Estimate; CLASS OF WORKER - Employee of private company workers
HC01_MOE_VC10,Total Civilian Noninstitutionalized Population; Margin of Error; CLASS OF WORKER - Employee of private company workers
HC02_EST_VC10,With a Disability; Estimate; CLASS OF WORKER - Employee of private company workers
HC02_MOE_VC10,With a Disability; Margin of Error; CLASS OF WORKER - Employee of private company workers
HC03_EST_VC10,No Disability; Estimate; CLASS OF WORKER - Employee of private company workers
HC03_MOE_VC10,No Disability; Margin of Error; CLASS OF WORKER - Employee of private company workers
HC01_EST_VC11,Total Civilian Noninstitutionalized Population; Estimate; CLASS OF WORKER - Self-employed in own incorporated business workers
HC01_MOE_VC11,Total Civilian Noninstitutionalized Population; Margin of Error; CLASS OF WORKER - Self-employed in own incorporated business workers
HC02_EST_VC11,With a Disability; Estimate; CLASS OF WORKER - Self-employed in own incorporated business workers
HC02_MOE_VC11,With a Disability; Margin of Error; CLASS OF WORKER - Self-employed in own incorporated business workers
HC03_EST_VC11,No Disability; Estimate; CLASS OF WORKER - Self-employed in own incorporated business workers
HC03_MOE_VC11,No Disability; Margin of Error; CLASS OF WORKER - Self-employed in own incorporated business workers
HC01_EST_VC12,Total Civilian Noninstitutionalized Population; Estimate; CLASS OF WORKER - Private not-for-profit wage and salary workers
