GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HC01_EST_VC01,Total; Estimate; Population 16 to 64 years
HC01_MOE_VC01,Total; Margin of Error; Population 16 to 64 years
HC02_EST_VC01,Percent; Estimate; Population 16 to 64 years
HC02_MOE_VC01,Percent; Margin of Error; Population 16 to 64 years
HC03_EST_VC01,Male; Estimate; Population 16 to 64 years
HC03_MOE_VC01,Male; Margin of Error; Population 16 to 64 years
HC04_EST_VC01,Percent Male; Estimate; Population 16 to 64 years
HC04_MOE_VC01,Percent Male; Margin of Error; Population 16 to 64 years
HC05_EST_VC01,Female; Estimate; Population 16 to 64 years
HC05_MOE_VC01,Female; Margin of Error; Population 16 to 64 years
HC06_EST_VC01,Percent Female; Estimate; Population 16 to 64 years
HC06_MOE_VC01,Percent Female; Margin of Error; Population 16 to 64 years
HC01_EST_VC03,Total; Estimate; WEEKS WORKED - Worked 50 to 52 weeks
HC01_MOE_VC03,Total; Margin of Error; WEEKS WORKED - Worked 50 to 52 weeks
HC02_EST_VC03,Percent; Estimate; WEEKS WORKED - Worked 50 to 52 weeks
HC02_MOE_VC03,Percent; Margin of Error; WEEKS WORKED - Worked 50 to 52 weeks
HC03_EST_VC03,Male; Estimate; WEEKS WORKED - Worked 50 to 52 weeks
HC03_MOE_VC03,Male; Margin of Error; WEEKS WORKED - Worked 50 to 52 weeks
HC04_EST_VC03,Percent Male; Estimate; WEEKS WORKED - Worked 50 to 52 weeks
HC04_MOE_VC03,Percent Male; Margin of Error; WEEKS WORKED - Worked 50 to 52 weeks
HC05_EST_VC03,Female; Estimate; WEEKS WORKED - Worked 50 to 52 weeks
HC05_MOE_VC03,Female; Margin of Error; WEEKS WORKED - Worked 50 to 52 weeks
HC06_EST_VC03,Percent Female; Estimate; WEEKS WORKED - Worked 50 to 52 weeks
HC06_MOE_VC03,Percent Female; Margin of Error; WEEKS WORKED - Worked 50 to 52 weeks
HC01_EST_VC04,Total; Estimate; WEEKS WORKED - Worked 48 to 49 weeks
HC01_MOE_VC04,Total; Margin of Error; WEEKS WORKED - Worked 48 to 49 weeks
HC02_EST_VC04,Percent; Estimate; WEEKS WORKED - Worked 48 to 49 weeks
HC02_MOE_VC04,Percent; Margin of Error; WEEKS WORKED - Worked 48 to 49 weeks
HC03_EST_VC04,Male; Estimate; WEEKS WORKED - Worked 48 to 49 weeks
HC03_MOE_VC04,Male; Margin of Error; WEEKS WORKED - Worked 48 to 49 weeks
HC04_EST_VC04,Percent Male; Estimate; WEEKS WORKED - Worked 48 to 49 weeks
HC04_MOE_VC04,Percent Male; Margin of Error; WEEKS WORKED - Worked 48 to 49 weeks
HC05_EST_VC04,Female; Estimate; WEEKS WORKED - Worked 48 to 49 weeks
HC05_MOE_VC04,Female; Margin of Error; WEEKS WORKED - Worked 48 to 49 weeks
HC06_EST_VC04,Percent Female; Estimate; WEEKS WORKED - Worked 48 to 49 weeks
HC06_MOE_VC04,Percent Female; Margin of Error; WEEKS WORKED - Worked 48 to 49 weeks
HC01_EST_VC05,Total; Estimate; WEEKS WORKED - Worked 40 to 47 weeks
HC01_MOE_VC05,Total; Margin of Error; WEEKS WORKED - Worked 40 to 47 weeks
HC02_EST_VC05,Percent; Estimate; WEEKS WORKED - Worked 40 to 47 weeks
HC02_MOE_VC05,Percent; Margin of Error; WEEKS WORKED - Worked 40 to 47 weeks
HC03_EST_VC05,Male; Estimate; WEEKS WORKED - Worked 40 to 47 weeks
HC03_MOE_VC05,Male; Margin of Error; WEEKS WORKED - Worked 40 to 47 weeks
HC04_EST_VC05,Percent Male; Estimate; WEEKS WORKED - Worked 40 to 47 weeks
HC04_MOE_VC05,Percent Male; Margin of Error; WEEKS WORKED - Worked 40 to 47 weeks
HC05_EST_VC05,Female; Estimate; WEEKS WORKED - Worked 40 to 47 weeks
HC05_MOE_VC05,Female; Margin of Error; WEEKS WORKED - Worked 40 to 47 weeks
HC06_EST_VC05,Percent Female; Estimate; WEEKS WORKED - Worked 40 to 47 weeks
HC06_MOE_VC05,Percent Female; Margin of Error; WEEKS WORKED - Worked 40 to 47 weeks
HC01_EST_VC06,Total; Estimate; WEEKS WORKED - Worked 27 to 39 weeks
HC01_MOE_VC06,Total; Margin of Error; WEEKS WORKED - Worked 27 to 39 weeks
HC02_EST_VC06,Percent; Estimate; WEEKS WORKED - Worked 27 to 39 weeks
HC02_MOE_VC06,Percent; Margin of Error; WEEKS WORKED - Worked 27 to 39 weeks
HC03_EST_VC06,Male; Estimate; WEEKS WORKED - Worked 27 to 39 weeks
HC03_MOE_VC06,Male; Margin of Error; WEEKS WORKED - Worked 27 to 39 weeks
HC04_EST_VC06,Percent Male; Estimate; WEEKS WORKED - Worked 27 to 39 weeks
HC04_MOE_VC06,Percent Male; Margin of Error; WEEKS WORKED - Worked 27 to 39 weeks
HC05_EST_VC06,Female; Estimate; WEEKS WORKED - Worked 27 to 39 weeks
HC05_MOE_VC06,Female; Margin of Error; WEEKS WORKED - Worked 27 to 39 weeks
HC06_EST_VC06,Percent Female; Estimate; WEEKS WORKED - Worked 27 to 39 weeks
HC06_MOE_VC06,Percent Female; Margin of Error; WEEKS WORKED - Worked 27 to 39 weeks
HC01_EST_VC07,Total; Estimate; WEEKS WORKED - Worked 14 to 26 weeks
HC01_MOE_VC07,Total; Margin of Error; WEEKS WORKED - Worked 14 to 26 weeks
HC02_EST_VC07,Percent; Estimate; WEEKS WORKED - Worked 14 to 26 weeks
HC02_MOE_VC07,Percent; Margin of Error; WEEKS WORKED - Worked 14 to 26 weeks
HC03_EST_VC07,Male; Estimate; WEEKS WORKED - Worked 14 to 26 weeks
HC03_MOE_VC07,Male; Margin of Error; WEEKS WORKED - Worked 14 to 26 weeks
HC04_EST_VC07,Percent Male; Estimate; WEEKS WORKED - Worked 14 to 26 weeks
HC04_MOE_VC07,Percent Male; Margin of Error; WEEKS WORKED - Worked 14 to 26 weeks
HC05_EST_VC07,Female; Estimate; WEEKS WORKED - Worked 14 to 26 weeks
HC05_MOE_VC07,Female; Margin of Error; WEEKS WORKED - Worked 14 to 26 weeks
HC06_EST_VC07,Percent Female; Estimate; WEEKS WORKED - Worked 14 to 26 weeks
HC06_MOE_VC07,Percent Female; Margin of Error; WEEKS WORKED - Worked 14 to 26 weeks
HC01_EST_VC08,Total; Estimate; WEEKS WORKED - Worked 1 to 13 weeks
HC01_MOE_VC08,Total; Margin of Error; WEEKS WORKED - Worked 1 to 13 weeks
HC02_EST_VC08,Percent; Estimate; WEEKS WORKED - Worked 1 to 13 weeks
HC02_MOE_VC08,Percent; Margin of Error; WEEKS WORKED - Worked 1 to 13 weeks
HC03_EST_VC08,Male; Estimate; WEEKS WORKED - Worked 1 to 13 weeks
HC03_MOE_VC08,Male; Margin of Error; WEEKS WORKED - Worked 1 to 13 weeks
HC04_EST_VC08,Percent Male; Estimate; WEEKS WORKED - Worked 1 to 13 weeks
HC04_MOE_VC08,Percent Male; Margin of Error; WEEKS WORKED - Worked 1 to 13 weeks
HC05_EST_VC08,Female; Estimate; WEEKS WORKED - Worked 1 to 13 weeks
HC05_MOE_VC08,Female; Margin of Error; WEEKS WORKED - Worked 1 to 13 weeks
HC06_EST_VC08,Percent Female; Estimate; WEEKS WORKED - Worked 1 to 13 weeks
HC06_MOE_VC08,Percent Female; Margin of Error; WEEKS WORKED - Worked 1 to 13 weeks
HC01_EST_VC09,Total; Estimate; WEEKS WORKED - Did not work
HC01_MOE_VC09,Total; Margin of Error; WEEKS WORKED - Did not work
HC02_EST_VC09,Percent; Estimate; WEEKS WORKED - Did not work
HC02_MOE_VC09,Percent; Margin of Error; WEEKS WORKED - Did not work
HC03_EST_VC09,Male; Estimate; WEEKS WORKED - Did not work
HC03_MOE_VC09,Male; Margin of Error; WEEKS WORKED - Did not work
HC04_EST_VC09,Percent Male; Estimate; WEEKS WORKED - Did not work
HC04_MOE_VC09,Percent Male; Margin of Error; WEEKS WORKED - Did not work
HC05_EST_VC09,Female; Estimate; WEEKS WORKED - Did not work
HC05_MOE_VC09,Female; Margin of Error; WEEKS WORKED - Did not work
HC06_EST_VC09,Percent Female; Estimate; WEEKS WORKED - Did not work
HC06_MOE_VC09,Percent Female; Margin of Error; WEEKS WORKED - Did not work
HC01_EST_VC12,Total; Estimate; USUAL HOURS WORKED - Usually worked 35 or more hours per week
HC01_MOE_VC12,Total; Margin of Error; USUAL HOURS WORKED - Usually worked 35 or more hours per week
HC02_EST_VC12,Percent; Estimate; USUAL HOURS WORKED - Usually worked 35 or more hours per week
HC02_MOE_VC12,Percent; Margin of Error; USUAL HOURS WORKED - Usually worked 35 or more hours per week
HC03_EST_VC12,Male; Estimate; USUAL HOURS WORKED - Usually worked 35 or more hours per week
HC03_MOE_VC12,Male; Margin of Error; USUAL HOURS WORKED - Usually worked 35 or more hours per week
HC04_EST_VC12,Percent Male; Estimate; USUAL HOURS WORKED - Usually worked 35 or more hours per week
HC04_MOE_VC12,Percent Male; Margin of Error; USUAL HOURS WORKED - Usually worked 35 or more hours per week
HC05_EST_VC12,Female; Estimate; USUAL HOURS WORKED - Usually worked 35 or more hours per week
HC05_MOE_VC12,Female; Margin of Error; USUAL HOURS WORKED - Usually worked 35 or more hours per week
HC06_EST_VC12,Percent Female; Estimate; USUAL HOURS WORKED - Usually worked 35 or more hours per week
HC06_MOE_VC12,Percent Female; Margin of Error; USUAL HOURS WORKED - Usually worked 35 or more hours per week
HC01_EST_VC13,Total; Estimate; USUAL HOURS WORKED - Usually worked 35 or more hours per week - 50 to 52 weeks
HC01_MOE_VC13,Total; Margin of Error; USUAL HOURS WORKED - Usually worked 35 or more hours per week - 50 to 52 weeks
HC02_EST_VC13,Percent; Estimate; USUAL HOURS WORKED - Usually worked 35 or more hours per week - 50 to 52 weeks
HC02_MOE_VC13,Percent; Margin of Error; USUAL HOURS WORKED - Usually worked 35 or more hours per week - 50 to 52 weeks
HC03_EST_VC13,Male; Estimate; USUAL HOURS WORKED - Usually worked 35 or more hours per week - 50 to 52 weeks
HC03_MOE_VC13,Male; Margin of Error; USUAL HOURS WORKED - Usually worked 35 or more hours per week - 50 to 52 weeks
HC04_EST_VC13,Percent Male; Estimate; USUAL HOURS WORKED - Usually worked 35 or more hours per week - 50 to 52 weeks
HC04_MOE_VC13,Percent Male; Margin of Error; USUAL HOURS WORKED - Usually worked 35 or more hours per week - 50 to 52 weeks
HC05_EST_VC13,Female; Estimate; USUAL HOURS WORKED - Usually worked 35 or more hours per week - 50 to 52 weeks
HC05_MOE_VC13,Female; Margin of Error; USUAL HOURS WORKED - Usually worked 35 or more hours per week - 50 to 52 weeks
HC06_EST_VC13,Percent Female; Estimate; USUAL HOURS WORKED - Usually worked 35 or more hours per week - 50 to 52 weeks
HC06_MOE_VC13,Percent Female; Margin of Error; USUAL HOURS WORKED - Usually worked 35 or more hours per week - 50 to 52 weeks
HC01_EST_VC14,Total; Estimate; USUAL HOURS WORKED - Usually worked 35 or more hours per week - 48 to 49 weeks
HC01_MOE_VC14,Total; Margin of Error; USUAL HOURS WORKED - Usually worked 35 or more hours per week - 48 to 49 weeks
HC02_EST_VC14,Percent; Estimate; USUAL HOURS WORKED - Usually worked 35 or more hours per week - 48 to 49 weeks
HC02_MOE_VC14,Percent; Margin of Error; USUAL HOURS WORKED - Usually worked 35 or more hours per week - 48 to 49 weeks
HC03_EST_VC14,Male; Estimate; USUAL HOURS WORKED - Usually worked 35 or more hours per week - 48 to 49 weeks
HC03_MOE_VC14,Male; Margin of Error; USUAL HOURS WORKED - Usually worked 35 or more hours per week - 48 to 49 weeks
HC04_EST_VC14,Percent Male; Estimate; USUAL HOURS WORKED - Usually worked 35 or more hours per week - 48 to 49 weeks
HC04_MOE_VC14,Percent Male; Margin of Error; USUAL HOURS WORKED - Usually worked 35 or more hours per week - 48 to 49 weeks
HC05_EST_VC14,Female; Estimate; USUAL HOURS WORKED - Usually worked 35 or more hours per week - 48 to 49 weeks
HC05_MOE_VC14,Female; Margin of Error; USUAL HOURS WORKED - Usually worked 35 or more hours per week - 48 to 49 weeks
HC06_EST_VC14,Percent Female; Estimate; USUAL HOURS WORKED - Usually worked 35 or more hours per week - 48 to 49 weeks
HC06_MOE_VC14,Percent Female; Margin of Error; USUAL HOURS WORKED - Usually worked 35 or more hours per week - 48 to 49 weeks
HC01_EST_VC15,Total; Estimate; USUAL HOURS WORKED - Usually worked 35 or more hours per week - 40 to 47 weeks
HC01_MOE_VC15,Total; Margin of Error; USUAL HOURS WORKED - Usually worked 35 or more hours per week - 40 to 47 weeks
HC02_EST_VC15,Percent; Estimate; USUAL HOURS WORKED - Usually worked 35 or more hours per week - 40 to 47 weeks
HC02_MOE_VC15,Percent; Margin of Error; USUAL HOURS WORKED - Usually worked 35 or more hours per week - 40 to 47 weeks
HC03_EST_VC15,Male; Estimate; USUAL HOURS WORKED - Usually worked 35 or more hours per week - 40 to 47 weeks
HC03_MOE_VC15,Male; Margin of Error; USUAL HOURS WORKED - Usually worked 35 or more hours per week - 40 to 47 weeks
HC04_EST_VC15,Percent Male; Estimate; USUAL HOURS WORKED - Usually worked 35 or more hours per week - 40 to 47 weeks
HC04_MOE_VC15,Percent Male; Margin of Error; USUAL HOURS WORKED - Usually worked 35 or more hours per week - 40 to 47 weeks
HC05_EST_VC15,Female; Estimate; USUAL HOURS WORKED - Usually worked 35 or more hours per week - 40 to 47 weeks
HC05_MOE_VC15,Female; Margin of Error; USUAL HOURS WORKED - Usually worked 35 or more hours per week - 40 to 47 weeks
HC06_EST_VC15,Percent Female; Estimate; USUAL HOURS WORKED - Usually worked 35 or more hours per week - 40 to 47 weeks
HC06_MOE_VC15,Percent Female; Margin of Error; USUAL HOURS WORKED - Usually worked 35 or more hours per week - 40 to 47 weeks
HC01_EST_VC16,Total; Estimate; USUAL HOURS WORKED - Usually worked 35 or more hours per week - 27 to 39 weeks
HC01_MOE_VC16,Total; Margin of Error; USUAL HOURS WORKED - Usually worked 35 or more hours per week - 27 to 39 weeks
HC02_EST_VC16,Percent; Estimate; USUAL HOURS WORKED - Usually worked 35 or more hours per week - 27 to 39 weeks
