GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HC01_EST_VC01,Occupied housing units; Estimate; Occupied housing units
HC01_MOE_VC01,Occupied housing units; Margin of Error; Occupied housing units
HC02_EST_VC01,Percent occupied housing units; Estimate; Occupied housing units
HC02_MOE_VC01,Percent occupied housing units; Margin of Error; Occupied housing units
HC03_EST_VC01,Owner-occupied housing units; Estimate; Occupied housing units
HC03_MOE_VC01,Owner-occupied housing units; Margin of Error; Occupied housing units
HC04_EST_VC01,Percent owner-occupied housing units; Estimate; Occupied housing units
HC04_MOE_VC01,Percent owner-occupied housing units; Margin of Error; Occupied housing units
HC05_EST_VC01,Renter-occupied housing units; Estimate; Occupied housing units
HC05_MOE_VC01,Renter-occupied housing units; Margin of Error; Occupied housing units
HC06_EST_VC01,Percent renter-occupied housing units; Estimate; Occupied housing units
HC06_MOE_VC01,Percent renter-occupied housing units; Margin of Error; Occupied housing units
HC01_EST_VC03,"Occupied housing units; Estimate; UNITS IN STRUCTURE - 1, detached"
HC01_MOE_VC03,"Occupied housing units; Margin of Error; UNITS IN STRUCTURE - 1, detached"
HC02_EST_VC03,"Percent occupied housing units; Estimate; UNITS IN STRUCTURE - 1, detached"
HC02_MOE_VC03,"Percent occupied housing units; Margin of Error; UNITS IN STRUCTURE - 1, detached"
HC03_EST_VC03,"Owner-occupied housing units; Estimate; UNITS IN STRUCTURE - 1, detached"
HC03_MOE_VC03,"Owner-occupied housing units; Margin of Error; UNITS IN STRUCTURE - 1, detached"
HC04_EST_VC03,"Percent owner-occupied housing units; Estimate; UNITS IN STRUCTURE - 1, detached"
HC04_MOE_VC03,"Percent owner-occupied housing units; Margin of Error; UNITS IN STRUCTURE - 1, detached"
HC05_EST_VC03,"Renter-occupied housing units; Estimate; UNITS IN STRUCTURE - 1, detached"
HC05_MOE_VC03,"Renter-occupied housing units; Margin of Error; UNITS IN STRUCTURE - 1, detached"
HC06_EST_VC03,"Percent renter-occupied housing units; Estimate; UNITS IN STRUCTURE - 1, detached"
HC06_MOE_VC03,"Percent renter-occupied housing units; Margin of Error; UNITS IN STRUCTURE - 1, detached"
HC01_EST_VC04,"Occupied housing units; Estimate; UNITS IN STRUCTURE - 1, attached"
HC01_MOE_VC04,"Occupied housing units; Margin of Error; UNITS IN STRUCTURE - 1, attached"
HC02_EST_VC04,"Percent occupied housing units; Estimate; UNITS IN STRUCTURE - 1, attached"
HC02_MOE_VC04,"Percent occupied housing units; Margin of Error; UNITS IN STRUCTURE - 1, attached"
HC03_EST_VC04,"Owner-occupied housing units; Estimate; UNITS IN STRUCTURE - 1, attached"
HC03_MOE_VC04,"Owner-occupied housing units; Margin of Error; UNITS IN STRUCTURE - 1, attached"
HC04_EST_VC04,"Percent owner-occupied housing units; Estimate; UNITS IN STRUCTURE - 1, attached"
HC04_MOE_VC04,"Percent owner-occupied housing units; Margin of Error; UNITS IN STRUCTURE - 1, attached"
HC05_EST_VC04,"Renter-occupied housing units; Estimate; UNITS IN STRUCTURE - 1, attached"
HC05_MOE_VC04,"Renter-occupied housing units; Margin of Error; UNITS IN STRUCTURE - 1, attached"
HC06_EST_VC04,"Percent renter-occupied housing units; Estimate; UNITS IN STRUCTURE - 1, attached"
HC06_MOE_VC04,"Percent renter-occupied housing units; Margin of Error; UNITS IN STRUCTURE - 1, attached"
HC01_EST_VC05,Occupied housing units; Estimate; UNITS IN STRUCTURE - 2 apartments
HC01_MOE_VC05,Occupied housing units; Margin of Error; UNITS IN STRUCTURE - 2 apartments
HC02_EST_VC05,Percent occupied housing units; Estimate; UNITS IN STRUCTURE - 2 apartments
HC02_MOE_VC05,Percent occupied housing units; Margin of Error; UNITS IN STRUCTURE - 2 apartments
HC03_EST_VC05,Owner-occupied housing units; Estimate; UNITS IN STRUCTURE - 2 apartments
HC03_MOE_VC05,Owner-occupied housing units; Margin of Error; UNITS IN STRUCTURE - 2 apartments
HC04_EST_VC05,Percent owner-occupied housing units; Estimate; UNITS IN STRUCTURE - 2 apartments
HC04_MOE_VC05,Percent owner-occupied housing units; Margin of Error; UNITS IN STRUCTURE - 2 apartments
HC05_EST_VC05,Renter-occupied housing units; Estimate; UNITS IN STRUCTURE - 2 apartments
HC05_MOE_VC05,Renter-occupied housing units; Margin of Error; UNITS IN STRUCTURE - 2 apartments
HC06_EST_VC05,Percent renter-occupied housing units; Estimate; UNITS IN STRUCTURE - 2 apartments
HC06_MOE_VC05,Percent renter-occupied housing units; Margin of Error; UNITS IN STRUCTURE - 2 apartments
HC01_EST_VC06,Occupied housing units; Estimate; UNITS IN STRUCTURE - 3 or 4 apartments
HC01_MOE_VC06,Occupied housing units; Margin of Error; UNITS IN STRUCTURE - 3 or 4 apartments
HC02_EST_VC06,Percent occupied housing units; Estimate; UNITS IN STRUCTURE - 3 or 4 apartments
HC02_MOE_VC06,Percent occupied housing units; Margin of Error; UNITS IN STRUCTURE - 3 or 4 apartments
HC03_EST_VC06,Owner-occupied housing units; Estimate; UNITS IN STRUCTURE - 3 or 4 apartments
HC03_MOE_VC06,Owner-occupied housing units; Margin of Error; UNITS IN STRUCTURE - 3 or 4 apartments
HC04_EST_VC06,Percent owner-occupied housing units; Estimate; UNITS IN STRUCTURE - 3 or 4 apartments
HC04_MOE_VC06,Percent owner-occupied housing units; Margin of Error; UNITS IN STRUCTURE - 3 or 4 apartments
HC05_EST_VC06,Renter-occupied housing units; Estimate; UNITS IN STRUCTURE - 3 or 4 apartments
HC05_MOE_VC06,Renter-occupied housing units; Margin of Error; UNITS IN STRUCTURE - 3 or 4 apartments
HC06_EST_VC06,Percent renter-occupied housing units; Estimate; UNITS IN STRUCTURE - 3 or 4 apartments
HC06_MOE_VC06,Percent renter-occupied housing units; Margin of Error; UNITS IN STRUCTURE - 3 or 4 apartments
HC01_EST_VC07,Occupied housing units; Estimate; UNITS IN STRUCTURE - 5 to 9 apartments
HC01_MOE_VC07,Occupied housing units; Margin of Error; UNITS IN STRUCTURE - 5 to 9 apartments
